,move
1316,DOWN
1317,DOWN
1318,DOWN
1319,DOWN
1320,DOWN
1321,DOWN
1323,DOWN
1324,DOWN
1325,DOWN
1326,DOWN
1327,DOWN
1328,DOWN
1329,DOWN
1330,DOWN
1332,DOWN
1333,DOWN
1334,DOWN
1335,DOWN
1336,DOWN
1337,DOWN
1338,DOWN
1339,DOWN
1340,DOWN
1341,DOWN
1343,DOWN
1344,DOWN
1345,DOWN
1346,DOWN
1347,DOWN
1348,DOWN
1349,DOWN
1350,DOWN
1351,DOWN
1352,DOWN
1353,DOWN
1354,DOWN
1356,DOWN
1357,DOWN
1358,DOWN
1359,DOWN
1360,DOWN
1361,DOWN
1362,DOWN
1363,DOWN
1364,DOWN
1365,DOWN
1366,DOWN
1367,DOWN
1368,DOWN
1370,DOWN
1371,DOWN
1372,DOWN
1373,DOWN
1374,DOWN
1375,DOWN
1376,DOWN
1377,DOWN
1378,DOWN
1379,DOWN
1380,DOWN
1381,DOWN
1382,DOWN
1383,DOWN
1384,DOWN
1385,DOWN
1386,DOWN
1387,DOWN
1388,DOWN
1389,DOWN
1390,DOWN
1391,DOWN
1392,DOWN
1393,DOWN
1394,DOWN
1395,DOWN
1396,DOWN
1397,DOWN
1398,DOWN
1399,DOWN
1400,DOWN
1401,DOWN
1402,DOWN
1403,DOWN
1404,DOWN
1405,DOWN
1406,DOWN
1407,DOWN
1408,DOWN
1409,DOWN
1410,DOWN
1411,DOWN
1412,DOWN
1413,DOWN
1414,DOWN
1415,DOWN
1416,DOWN
1417,DOWN
1418,DOWN
1419,DOWN
1420,DOWN
1421,DOWN
1422,DOWN
1423,DOWN
1424,DOWN
1425,DOWN
1426,DOWN
1427,DOWN
1428,DOWN
1429,DOWN
1430,DOWN
1431,DOWN
1432,DOWN
1433,DOWN
1434,DOWN
1435,DOWN
1436,DOWN
1437,DOWN
1438,DOWN
1439,DOWN
1440,DOWN
1441,DOWN
1442,DOWN
1443,DOWN
1444,DOWN
1445,DOWN
1446,DOWN
1447,DOWN
1448,DOWN
1449,DOWN
1450,DOWN
1451,DOWN
1452,DOWN
1453,DOWN
1454,DOWN
1455,DOWN
1456,DOWN
1457,DOWN
1458,DOWN
1459,DOWN
1460,DOWN
1461,DOWN
1462,DOWN
1463,DOWN
1464,DOWN
1465,DOWN
1466,DOWN
1467,DOWN
1468,DOWN
1469,DOWN
1470,DOWN
1471,DOWN
1472,DOWN
1473,DOWN
1474,DOWN
1475,DOWN
1476,DOWN
1477,DOWN
1478,DOWN
1479,DOWN
1480,DOWN
1481,DOWN
1482,DOWN
1483,DOWN
1484,DOWN
1485,DOWN
1487,DOWN
1488,DOWN
1489,DOWN
1490,DOWN
1491,DOWN
1492,DOWN
1493,DOWN
1494,DOWN
1496,DOWN
1497,DOWN
1498,DOWN
1499,DOWN
1500,DOWN
1501,DOWN
1502,DOWN
1503,DOWN
1504,DOWN
1505,DOWN
1506,DOWN
1507,DOWN
1508,DOWN
1509,DOWN
1510,DOWN
1511,DOWN
1512,DOWN
1513,DOWN
1514,DOWN
1515,DOWN
1516,DOWN
1517,DOWN
1518,DOWN
1519,DOWN
1520,DOWN
1521,DOWN
1522,DOWN
1523,DOWN
1524,DOWN
1527,DOWN
1528,DOWN
1529,DOWN
1530,DOWN
1531,DOWN
1532,DOWN
1533,DOWN
1534,DOWN
1535,DOWN
1536,DOWN
1537,DOWN
1538,DOWN
1539,DOWN
1540,DOWN
1541,DOWN
1542,DOWN
1543,DOWN
1544,DOWN
1545,DOWN
1546,DOWN
1547,DOWN
1548,DOWN
1549,DOWN
1550,DOWN
1551,DOWN
1552,DOWN
1553,DOWN
1554,DOWN
1555,DOWN
1556,DOWN
1557,DOWN
1558,DOWN
1559,DOWN
1560,DOWN
1561,DOWN
1562,DOWN
1563,DOWN
1564,DOWN
1565,DOWN
1566,DOWN
1567,DOWN
1568,DOWN
1569,DOWN
1570,DOWN
1571,DOWN
1572,DOWN
1573,DOWN
1574,DOWN
1575,DOWN
1576,DOWN
1577,DOWN
1578,DOWN
1579,DOWN
1580,DOWN
1581,DOWN
1582,DOWN
1583,DOWN
1584,DOWN
1585,DOWN
1586,DOWN
1587,DOWN
1588,DOWN
1589,DOWN
1590,DOWN
1591,DOWN
1592,DOWN
1593,DOWN
1594,DOWN
1595,DOWN
1596,DOWN
1597,DOWN
1598,DOWN
1599,DOWN
1600,DOWN
1601,DOWN
1602,DOWN
1603,DOWN
1604,DOWN
1605,DOWN
1606,DOWN
1607,DOWN
1608,DOWN
1609,DOWN
1611,DOWN
1612,DOWN
1613,DOWN
1614,DOWN
1615,DOWN
1616,DOWN
1617,DOWN
1618,DOWN
1619,DOWN
1620,DOWN
1621,DOWN
1622,DOWN
1623,DOWN
1624,DOWN
1625,DOWN
1626,DOWN
1627,DOWN
1629,DOWN
1630,DOWN
1631,DOWN
1632,DOWN
1633,DOWN
1634,DOWN
1635,DOWN
1636,DOWN
1637,DOWN
1638,DOWN
1639,DOWN
1640,DOWN
1641,DOWN
1642,DOWN
1643,DOWN
1644,DOWN
1645,DOWN
1646,DOWN
1647,DOWN
1649,DOWN
1650,DOWN
1651,DOWN
1652,DOWN
1653,DOWN
1654,DOWN
1655,DOWN
1656,DOWN
1657,DOWN
1658,DOWN
1659,DOWN
1660,DOWN
1661,DOWN
1662,DOWN
1663,DOWN
1664,DOWN
1665,DOWN
1666,DOWN
1667,DOWN
1668,DOWN
1669,DOWN
1670,DOWN
1671,DOWN
1672,DOWN
1673,DOWN
1674,DOWN
1675,DOWN
1676,DOWN
1677,DOWN
1679,DOWN
1680,DOWN
1681,DOWN
1682,DOWN
1683,DOWN
1686,DOWN
1687,DOWN
1689,DOWN
1690,DOWN
1691,DOWN
1692,DOWN
1693,DOWN
1694,DOWN
1695,DOWN
1696,DOWN
1697,DOWN
1698,DOWN
1699,DOWN
1700,DOWN
1701,DOWN
1702,DOWN
1703,DOWN
1704,DOWN
1705,DOWN
1706,DOWN
1707,DOWN
1708,DOWN
1710,DOWN
1711,DOWN
1712,DOWN
1713,DOWN
1714,DOWN
1715,DOWN
1716,DOWN
1718,DOWN
1719,DOWN
1720,DOWN
1721,DOWN
1722,DOWN
1723,DOWN
1725,DOWN
1726,DOWN
1728,DOWN
1729,DOWN
1730,DOWN
1731,DOWN
1732,DOWN
1733,DOWN
1734,DOWN
1735,DOWN
1736,DOWN
1737,DOWN
1738,DOWN
1739,DOWN
1740,DOWN
1741,DOWN
1742,DOWN
1743,DOWN
1744,DOWN
1745,DOWN
1746,DOWN
1747,DOWN
1748,DOWN
1749,DOWN
1750,DOWN
1751,DOWN
1752,DOWN
1753,DOWN
1754,DOWN
1755,DOWN
1757,DOWN
1758,DOWN
1759,DOWN
1760,DOWN
1761,DOWN
1762,DOWN
1763,DOWN
1764,DOWN
1767,DOWN
1768,DOWN
1769,DOWN
1770,DOWN
1771,DOWN
1772,DOWN
1773,DOWN
1774,DOWN
1775,DOWN
1776,DOWN
1777,DOWN
1778,DOWN
1779,DOWN
1780,DOWN
1781,DOWN
1782,DOWN
1783,DOWN
1784,DOWN
1785,DOWN
1786,DOWN
1787,DOWN
1788,DOWN
1789,DOWN
1790,DOWN
1791,DOWN
1792,DOWN
1793,DOWN
1794,DOWN
1796,DOWN
1797,DOWN
1798,DOWN
1799,DOWN
1800,DOWN
1801,DOWN
1802,DOWN
1803,DOWN
1804,DOWN
1805,DOWN
1806,DOWN
1807,DOWN
1808,DOWN
1809,DOWN
1810,DOWN
1811,DOWN
1812,DOWN
1813,DOWN
1814,DOWN
1815,DOWN
1816,DOWN
1817,DOWN
1818,DOWN
1819,DOWN
1820,DOWN
1821,DOWN
1823,DOWN
1824,DOWN
1825,DOWN
1826,DOWN
1827,DOWN
1828,DOWN
1829,DOWN
1830,DOWN
1831,DOWN
1833,DOWN
1834,DOWN
1835,DOWN
1836,DOWN
1837,DOWN
1838,DOWN
1839,DOWN
1840,DOWN
1841,DOWN
1842,DOWN
1843,DOWN
1844,DOWN
1845,DOWN
1846,DOWN
1847,DOWN
1848,DOWN
1849,DOWN
1850,DOWN
1851,DOWN
1852,DOWN
1853,DOWN
1854,DOWN
1855,DOWN
1856,DOWN
1857,DOWN
1858,DOWN
1860,DOWN
1861,DOWN
1862,DOWN
1863,DOWN
1864,DOWN
1865,DOWN
1866,DOWN
1867,DOWN
1869,DOWN
1870,DOWN
1871,DOWN
1872,DOWN
1873,DOWN
1874,DOWN
1875,DOWN
1876,DOWN
1877,DOWN
1878,DOWN
1879,DOWN
1881,DOWN
1882,DOWN
1883,DOWN
1884,DOWN
1885,DOWN
1886,DOWN
1887,DOWN
1888,DOWN
1889,DOWN
1890,DOWN
1891,DOWN
1892,DOWN
1893,DOWN
1895,DOWN
1896,DOWN
1897,DOWN
1898,DOWN
1899,DOWN
1900,DOWN
1901,DOWN
1902,DOWN
1903,DOWN
1904,DOWN
1905,DOWN
1906,DOWN
1907,DOWN
1908,DOWN
1909,DOWN
1911,DOWN
1912,DOWN
1913,DOWN
1914,DOWN
1915,DOWN
1916,DOWN
1917,DOWN
1918,DOWN
1920,DOWN
1921,DOWN
1922,DOWN
1923,DOWN
1924,DOWN
1925,DOWN
1926,DOWN
1927,DOWN
1929,DOWN
1930,DOWN
1931,DOWN
1932,DOWN
1934,DOWN
1935,DOWN
1936,DOWN
1937,DOWN
1938,DOWN
1939,DOWN
1940,DOWN
1941,DOWN
1943,DOWN
1944,DOWN
1945,DOWN
1946,DOWN
1947,DOWN
1948,DOWN
1949,DOWN
1950,DOWN
1951,DOWN
1952,DOWN
1953,DOWN
1954,DOWN
1956,DOWN
1957,DOWN
1958,DOWN
1959,DOWN
1960,DOWN
